samples	symbol	Mutation	CNA Status	Expression
TCGA-06-0743	LZTR1	-	-	2.09
TCGA-06-0743	MALAT1	-	-	0.04
TCGA-06-0743	MAP2K4	-	-	-0.451
TCGA-06-0743	MAP3K3	-	-	-0.617
TCGA-06-0743	MAPK8IP1	-	-	4.112
TCGA-06-0743	MATK	-	-	-0.175
TCGA-06-0743	MDM2	-	-	-0.112
TCGA-06-0743	MDM4	-	-	0.475
TCGA-06-0743	METTL14	-	-	-0.724
TCGA-06-0743	MN1	-	-	-0.165
TCGA-06-0743	MTOR	-	-	-0.547
TCGA-06-0743	NAV3	-	-	0.408
TCGA-06-0743	NBPF10	-	-	-0.082
TCGA-06-0743	NCOA4	-	-	-0.949
TCGA-06-0743	NF1	-	-	-0.411
TCGA-06-0743	NFE2L2	-	-	0.124
TCGA-06-0743	NLRP3	-	-	0.161
TCGA-06-0743	NOTCH1	-	-	0.903
TCGA-06-0743	NR4A2	-	-	-0.238
TCGA-06-0743	PCBP1	-	-	-1.298
TCGA-06-0743	PDGFRA	-	-	1.175
TCGA-06-0743	PIK3CA	-	-	-0.386
TCGA-06-0743	PIK3CG	-	-	-0.116
TCGA-06-0743	PIK3R1	-	-	0.191
TCGA-06-0743	PIP5K1A	-	-	-0.233
TCGA-06-0743	PLCG1	1	-	5.055
TCGA-06-0743	PPP2R1A	-	-	0.289
TCGA-06-0743	PTEN	1	-	-1.34
TCGA-06-0743	RAC1	-	-	1.459
TCGA-06-0743	RANBP2	-	-	-0.895
TCGA-06-0743	RANBP3	-	-	2.01
TCGA-06-0743	RB1	-	-	0.141
TCGA-06-0743	RBMX	-	-	-0.572
TCGA-06-0743	RHEB	-	-	1.196
TCGA-06-0743	RHOA	-	-	0.198
TCGA-06-0743	RPL5	-	-	-0.927
TCGA-06-0743	RPSAP58	-	-	0.194
TCGA-06-0743	RUNX1	-	-	-0.489
TCGA-06-0743	RXRA	-	-	0.01
TCGA-06-0743	SMAD2	-	-	-0.586
TCGA-06-0743	SMC1A	-	-	-1.046
TCGA-06-0743	SPATA6	-	-	1.579
TCGA-06-0743	SPEN	-	-	-0.609
TCGA-06-0743	SPOP	-	-	0.79
TCGA-06-0743	STAG2	-	-	-0.626
TCGA-06-0743	STK11	-	-	0.851
TCGA-06-0743	SYNE1	-	-	0.534
TCGA-06-0743	TBL1XR1	-	-	-0.305
TCGA-06-0743	TBX3	-	-	-0.145
TCGA-06-0743	TCF12	-	-	1.427
TCGA-06-0743	TCF7	-	-	-0
TCGA-06-0743	TET2	-	-	-0.17
TCGA-06-0743	TFDP1	-	-	-0.363
TCGA-06-0743	TGFBR2	-	-	-0.509
TCGA-06-0743	TGIF1	-	-	-0.349
TCGA-06-0743	TJP2	-	-	0.274
TCGA-06-0743	TNFRSF10C	-	-	-0.188
TCGA-06-0743	TOM1	-	-	-0.089
TCGA-06-0743	TP53	1	-	0.244
TCGA-06-0743	U2AF1	-	-	0.458
TCGA-06-0743	WT1	-	-	-0.01
TCGA-06-0743	ZFP36L1	-	-	-0.238
TCGA-06-0743	ZFP36L2	-	-	-0.152
TCGA-06-0743	ZNF132	-	-	1.312
TCGA-06-0743	ZNF300	-	-	0.347
TCGA-06-0743	ZNF814	-	-	3.283
TCGA-06-0743	ZNF844	-	-	0.259
TCGA-06-0744	ABCB1	-	-	1.014
TCGA-06-0744	ACVR1B	-	-	-0.901
TCGA-06-0744	ADCY1	-	-	0.31
TCGA-06-0744	ADORA2A	-	-	0.611
TCGA-06-0744	AHNAK2	1	-	-0.182
TCGA-06-0744	AKAP9	-	-	-0.294
TCGA-06-0744	AKD1	-	-	-0.33
TCGA-06-0744	AKT1	-	-	0.425
TCGA-06-0744	AMPH	-	-	0.454
TCGA-06-0744	APAF1	-	-	-0.241
TCGA-06-0744	BCOR	-	-	-1.246
TCGA-06-0744	BRAF	-	-	-0.998
TCGA-06-0744	BRCA1	-	-	-0.257
TCGA-06-0744	BRCA2	-	-	-0.22
TCGA-06-0744	CAD	-	-	0.082
TCGA-06-0744	CASP8	-	-	-1.062
TCGA-06-0744	CAST	-	-	-1.247
TCGA-06-0744	CBFB	-	-	-0.413
TCGA-06-0744	CCND1	-	-	-0.137
TCGA-06-0744	CDKN2A	0	-2	-0.069
TCGA-06-0744	CDKN2C	-	-	4.638
TCGA-06-0744	CEBPA	-	-	0.316
TCGA-06-0744	CENPF	-	-	-0.051
TCGA-06-0744	CFH	-	-	-0.277
TCGA-06-0744	CHD4	-	-	-0.764
TCGA-06-0744	CHD8	-	-	-0.382
TCGA-06-0744	CREM	-	-	1.3
TCGA-06-0744	CRTC3	-	-	0.982
TCGA-06-0744	CTCF	-	-	-0.716
TCGA-06-0744	CUL1	-	-	0.653
TCGA-06-0744	DHX9	-	-	-0.411
TCGA-06-0744	DICER1	-	-	-0.196
TCGA-06-0744	DMD	-	-	0.562
TCGA-06-0744	DNMT3A	-	-	-0.363
TCGA-06-0744	EGFR	0	2	5.696
TCGA-06-0744	EIF4A2	-	-	0.324
TCGA-06-0744	ELF3	-	-	-0.727
TCGA-06-0744	ERCC2	-	-	1.423
TCGA-06-0744	EWSR1	-	-	0.241
TCGA-06-0744	EZH2	-	-	2.061
TCGA-06-0744	FANCA	-	-	0.585
TCGA-06-0744	FBN2	-	-	-0.043
TCGA-06-0744	FBXO11	-	-	0.868
TCGA-06-0744	FES	-	-	-0.071
TCGA-06-0744	FGFR3	0	2	2.363
TCGA-06-0744	FLT3	-	-	-0.006
TCGA-06-0744	FOXA2	-	-	-0.009
TCGA-06-0744	FRG1B	-	-	-1.05
TCGA-06-0744	GATA3	-	-	-0.014
TCGA-06-0744	GNAI1	-	-	-0.509
TCGA-06-0744	GNAS	-	-	0.469
TCGA-06-0744	GOLGA5	-	-	-0.794
TCGA-06-0744	GOT2	-	-	-0.234
TCGA-06-0744	GPHN	-	-	0.97
TCGA-06-0744	GPS2	-	-	0.979
TCGA-06-0744	H3F3C	-	-	-0.376
TCGA-06-0744	HGF	-	-	0.018
TCGA-06-0744	HLA-A	-	-	-0.227
TCGA-06-0744	HMGXB4	-	-	-0.842
TCGA-06-0744	HRAS	-	-	1.575
TCGA-06-0744	HSPA8	-	-	0.2
TCGA-06-0744	HUWE1	-	-	-1.082
TCGA-06-0744	IDH1	-	-	0.62
TCGA-06-0744	IDH2	-	-	-0.46
TCGA-06-0744	IRS2	-	-	2.025
TCGA-06-0744	KDM5C	-	-	-1.096
TCGA-06-0744	KEAP1	-	-	0.847
TCGA-06-0744	KIFC3	-	-	0.578
TCGA-06-0744	KIT	-	-	-0.05
TCGA-06-0744	KRAS	-	-	-0.337
TCGA-06-0744	LEPR	-	-	-0.314
TCGA-06-0744	LIFR	-	-	0.18
TCGA-06-0744	LPP	-	-	-0.958
TCGA-06-0744	LUM	-	-	-0.303
TCGA-06-0744	LZTR1	0	2	2.801
TCGA-06-0744	MALAT1	-	-	0.008
TCGA-06-0744	MAP2K4	-	-	-0.327
TCGA-06-0744	MAP3K3	-	-	-0.14
TCGA-06-0744	MAPK8IP1	-	-	5.158
TCGA-06-0744	MATK	-	-	-0.031
TCGA-06-0744	MDM2	-	-	-0.13
TCGA-06-0744	MDM4	-	-	0.697
TCGA-06-0744	METTL14	-	-	-0.709
TCGA-06-0744	MN1	-	-	-0.138
TCGA-06-0744	MTOR	-	-	-0.464
TCGA-06-0744	NAV3	-	-	0.025
TCGA-06-0744	NBPF10	-	-	-0.105
TCGA-06-0744	NCOA4	-	-	-0.915
TCGA-06-0744	NF1	-	-	-0.609
TCGA-06-0744	NFE2L2	-	-	-0.043
TCGA-06-0744	NLRP3	-	-	0.121
TCGA-06-0744	NOTCH1	-	-	3.71
TCGA-06-0744	NR4A2	-	-	-0.242
TCGA-06-0744	PCBP1	-	-	-1.057
TCGA-06-0744	PDGFRA	-	-	0.267
TCGA-06-0744	PIK3CA	-	-	-0.538
TCGA-06-0744	PIK3CG	-	-	-0.145
TCGA-06-0744	PIK3R1	-	-	-0.169
TCGA-06-0744	PIP5K1A	-	-	0.357
TCGA-06-0744	PLCG1	-	-	2.422
TCGA-06-0744	PPP2R1A	-	-	1.087
TCGA-06-0744	PTEN	-	-	-1.135
TCGA-06-0744	RAC1	-	-	1.401
TCGA-06-0744	RANBP2	-	-	-0.97
TCGA-06-0744	RANBP3	-	-	2.366
TCGA-06-0744	RB1	-	-	0.292
TCGA-06-0744	RBMX	-	-	0.69
TCGA-06-0744	RHEB	-	-	1.68
TCGA-06-0744	RHOA	-	-	0.302
TCGA-06-0744	RPL5	-	-	0.383
TCGA-06-0744	RPSAP58	-	-	1.649
TCGA-06-0744	RUNX1	-	-	-0.438
TCGA-06-0744	RXRA	-	-	-0.037
TCGA-06-0744	SMAD2	-	-	-0.494
TCGA-06-0744	SMC1A	-	-	-0.97
TCGA-06-0744	SPATA6	-	-	1.871
TCGA-06-0744	SPEN	-	-	-0.314
TCGA-06-0744	SPOP	-	-	0.542
TCGA-06-0744	STAG2	-	-	-0.502
TCGA-06-0744	STK11	-	-	0.88
TCGA-06-0744	SYNE1	-	-	0.368
TCGA-06-0744	TBL1XR1	-	-	-0.622
TCGA-06-0744	TBX3	-	-	-0.139
TCGA-06-0744	TCF12	-	-	3.037
TCGA-06-0744	TCF7	-	-	-0.086
TCGA-06-0744	TET2	-	-	-0.1
TCGA-06-0744	TFDP1	-	-	-0.229
TCGA-06-0744	TGFBR2	-	-	-0.463
TCGA-06-0744	TGIF1	-	-	1.026
TCGA-06-0744	TJP2	-	-	-0.718
TCGA-06-0744	TNFRSF10C	-	-	-0.244
TCGA-06-0744	TOM1	-	-	-0.767
TCGA-06-0744	TP53	1	-	0.071
TCGA-06-0744	U2AF1	-	-	0.983
TCGA-06-0744	WT1	-	-	-0.002
TCGA-06-0744	ZFP36L1	-	-	-0.435
TCGA-06-0744	ZFP36L2	-	-	0.081
TCGA-06-0744	ZNF132	-	-	0.725
TCGA-06-0744	ZNF300	-	-	1.633
TCGA-06-0744	ZNF814	-	-	2.277
TCGA-06-0744	ZNF844	-	-	0.342
TCGA-06-0745	ABCB1	1	-	0.293
TCGA-06-0745	ACVR1B	-	-	-0.705
TCGA-06-0745	ADCY1	-	-	0.34
TCGA-06-0745	ADORA2A	-	-	0.071
TCGA-06-0745	AHNAK2	-	-	-0.182
TCGA-06-0745	AKAP9	-	-	-0.543
TCGA-06-0745	AKD1	-	-	0.876
TCGA-06-0745	AKT1	-	-	-0.488
TCGA-06-0745	AMPH	-	-	1.206
TCGA-06-0745	APAF1	-	-	0.013
TCGA-06-0745	BCOR	-	-	-1.133
TCGA-06-0745	BRAF	-	-	-0.752
TCGA-06-0745	BRCA1	-	-	-0.165
TCGA-06-0745	BRCA2	-	-	-0.233
TCGA-06-0745	CAD	-	-	-0.438
TCGA-06-0745	CASP8	-	-	-1.127
TCGA-06-0745	CAST	-	-	-1.217
TCGA-06-0745	CBFB	-	-	0.606
TCGA-06-0745	CCND1	-	-	-0.368
TCGA-06-0745	CDKN2A	0	-2	-0.064
TCGA-06-0745	CDKN2C	-	-	4.365
TCGA-06-0745	CEBPA	-	-	0.188
TCGA-06-0745	CENPF	-	-	-0.235
TCGA-06-0745	CFH	-	-	-0.329
TCGA-06-0745	CHD4	-	-	-1.323
TCGA-06-0745	CHD8	-	-	-1.357
TCGA-06-0745	CREM	-	-	0.166
TCGA-06-0745	CRTC3	-	-	0.444
TCGA-06-0745	CTCF	-	-	-0.752
TCGA-06-0745	CUL1	-	-	0.218
TCGA-06-0745	DHX9	-	-	-0.774
TCGA-06-0745	DICER1	-	-	-0.868
TCGA-06-0745	DMD	-	-	-0.107
TCGA-06-0745	DNMT3A	-	-	-0.581
TCGA-06-0745	EGFR	0	2	1.144
TCGA-06-0745	EIF4A2	-	-	-0.829
TCGA-06-0745	ELF3	-	-	-0.73
TCGA-06-0745	ERCC2	-	-	-0.411
TCGA-06-0745	EWSR1	-	-	-0.882
TCGA-06-0745	EZH2	-	-	0.52
TCGA-06-0745	FANCA	-	-	0.224
TCGA-06-0745	FBN2	-	-	0.014
TCGA-06-0745	FBXO11	-	-	-0.164
TCGA-06-0745	FES	-	-	0.251
TCGA-06-0745	FGFR3	-	-	0.049
TCGA-06-0745	FLT3	-	-	-0.005
TCGA-06-0745	FOXA2	-	-	-0.009
TCGA-06-0745	FRG1B	-	-	0.652
TCGA-06-0745	GATA3	-	-	-0.013
TCGA-06-0745	GNAI1	-	-	0.3
TCGA-06-0745	GNAS	-	-	1.552
TCGA-06-0745	GOLGA5	-	-	-0.749
TCGA-06-0745	GOT2	-	-	-0.238
TCGA-06-0745	GPHN	-	-	-0.144
TCGA-06-0745	GPS2	-	-	1.337
TCGA-06-0745	H3F3C	-	-	-0.347
TCGA-06-0745	HGF	-	-	-0.005
TCGA-06-0745	HLA-A	-	-	0.148
TCGA-06-0745	HMGXB4	-	-	-0.497
TCGA-06-0745	HRAS	-	-	1.326
TCGA-06-0745	HSPA8	-	-	0.66
TCGA-06-0745	HUWE1	-	-	-1.35
TCGA-06-0745	IDH1	-	-	0.135
TCGA-06-0745	IDH2	-	-	-0.136
TCGA-06-0745	IRS2	-	-	1.515
TCGA-06-0745	KDM5C	-	-	-1.178
TCGA-06-0745	KEAP1	-	-	0.556
TCGA-06-0745	KIFC3	-	-	1.329
TCGA-06-0745	KIT	-	-	-0.025
TCGA-06-0745	KRAS	-	-	-0.354
TCGA-06-0745	LEPR	-	-	-0.196
TCGA-06-0745	LIFR	-	-	0.467
TCGA-06-0745	LPP	-	-	-1.006
TCGA-06-0745	LUM	-	-	-0.285
TCGA-06-0745	LZTR1	-	-	0.29
TCGA-06-0745	MALAT1	-	-	-0.02
TCGA-06-0745	MAP2K4	-	-	0.055
TCGA-06-0745	MAP3K3	-	-	-0.576
TCGA-06-0745	MAPK8IP1	-	-	2.996
TCGA-06-0745	MATK	-	-	-0.187
TCGA-06-0745	MDM2	-	-	-0.033
TCGA-06-0745	MDM4	-	-	0.097
TCGA-06-0745	METTL14	-	-	-0.932
TCGA-06-0745	MN1	-	-	-0.002
TCGA-06-0745	MTOR	-	-	-1.4
TCGA-06-0745	NAV3	-	-	0.343
TCGA-06-0745	NBPF10	-	-	-0.248
TCGA-06-0745	NCOA4	-	-	-0.813
TCGA-06-0745	NF1	-	-	-0.532
TCGA-06-0745	NFE2L2	-	-	-0.144
TCGA-06-0745	NLRP3	-	-	0.146
TCGA-06-0745	NOTCH1	-	-	0.528
TCGA-06-0745	NR4A2	-	-	-0.178
TCGA-06-0745	PCBP1	-	-	-0.503
TCGA-06-0745	PDGFRA	-	-	0.051
TCGA-06-0745	PIK3CA	-	-	-0.253
TCGA-06-0745	PIK3CG	-	-	-0.082
TCGA-06-0745	PIK3R1	-	-	-0.065
TCGA-06-0745	PIP5K1A	-	-	-0.457
TCGA-06-0745	PLCG1	-	-	0.71
TCGA-06-0745	PPP2R1A	-	-	-0.274
TCGA-06-0745	PTEN	-	-	-0.895
TCGA-06-0745	RAC1	-	-	3.314
TCGA-06-0745	RANBP2	-	-	-1.334
TCGA-06-0745	RANBP3	-	-	1.303
TCGA-06-0745	RB1	-	-	0.597
TCGA-06-0745	RBMX	-	-	0.101
TCGA-06-0745	RHEB	-	-	1.75
TCGA-06-0745	RHOA	-	-	-0.119
TCGA-06-0745	RPL5	-	-	-0.526
TCGA-06-0745	RPSAP58	-	-	0.691
TCGA-06-0745	RUNX1	-	-	-0.391
TCGA-06-0745	RXRA	-	-	0.089
TCGA-06-0745	SMAD2	-	-	-0.274
TCGA-06-0745	SMC1A	-	-	-0.88
TCGA-06-0745	SPATA6	-	-	4.754
TCGA-06-0745	SPEN	-	-	-0.897
TCGA-06-0745	SPOP	-	-	0.355
TCGA-06-0745	STAG2	-	-	-0.825
TCGA-06-0745	STK11	-	-	0.799
TCGA-06-0745	SYNE1	-	-	0.068
TCGA-06-0745	TBL1XR1	-	-	-0.731
TCGA-06-0745	TBX3	-	-	-0.07
TCGA-06-0745	TCF12	-	-	2.392
TCGA-06-0745	TCF7	-	-	0.008
TCGA-06-0745	TET2	-	-	-0.327
TCGA-06-0745	TFDP1	-	-	-0.246
TCGA-06-0745	TGFBR2	-	-	-0.417
TCGA-06-0745	TGIF1	-	-	0.006
TCGA-06-0745	TJP2	-	-	-0.477
TCGA-06-0745	TNFRSF10C	-	-	0.466
TCGA-06-0745	TOM1	-	-	-0.032
TCGA-06-0745	TP53	-	-	-0.329
TCGA-06-0745	U2AF1	-	-	0.449
TCGA-06-0745	WT1	-	-	-0.002
TCGA-06-0745	ZFP36L1	-	-	-0.317
TCGA-06-0745	ZFP36L2	-	-	0.114
TCGA-06-0745	ZNF132	-	-	0.086
TCGA-06-0745	ZNF300	-	-	3.901
TCGA-06-0745	ZNF814	-	-	-0.31
TCGA-06-0745	ZNF844	-	-	-0.124
TCGA-06-0749	ABCB1	-	-	0.412
TCGA-06-0749	ACVR1B	-	-	-0.587
TCGA-06-0749	ADCY1	-	-	0.356
TCGA-06-0749	ADORA2A	-	-	-0.114
TCGA-06-0749	AHNAK2	-	-	-0.142
TCGA-06-0749	AKAP9	-	-	-0.429
TCGA-06-0749	AKD1	-	-	0.67
TCGA-06-0749	AKT1	-	-	-0.534
TCGA-06-0749	AMPH	-	-	5.005
TCGA-06-0749	APAF1	-	-	-0.26
TCGA-06-0749	BCOR	-	-	-1.375
TCGA-06-0749	BRAF	-	-	-1.17
TCGA-06-0749	BRCA1	-	-	-0.298
TCGA-06-0749	BRCA2	-	-	-0.421
TCGA-06-0749	CAD	-	-	-0.532
TCGA-06-0749	CASP8	-	-	-1.029
TCGA-06-0749	CAST	-	-	-0.933
TCGA-06-0749	CBFB	-	-	-0.841
TCGA-06-0749	CCND1	-	-	-0.365
TCGA-06-0749	CDKN2A	-	-	-0.017
TCGA-06-0749	CDKN2C	-	-	-0.188
TCGA-06-0749	CEBPA	-	-	1.764
TCGA-06-0749	CENPF	-	-	-0.738
TCGA-06-0749	CFH	-	-	-0.142
TCGA-06-0749	CHD4	-	-	-1.331
TCGA-06-0749	CHD8	-	-	-1.147
TCGA-06-0749	CREM	-	-	0.67
TCGA-06-0749	CRTC3	-	-	-0.366
TCGA-06-0749	CTCF	-	-	-1.584
TCGA-06-0749	CUL1	-	-	0.066
TCGA-06-0749	DHX9	-	-	-1.032
TCGA-06-0749	DICER1	-	-	-0.711
TCGA-06-0749	DMD	-	-	0.298
TCGA-06-0749	DNMT3A	-	-	-0.628
TCGA-06-0749	EGFR	1	-	-0.005
TCGA-06-0749	EIF4A2	-	-	0.352
TCGA-06-0749	ELF3	-	-	-0.727
TCGA-06-0749	ERCC2	-	-	0
TCGA-06-0749	EWSR1	-	-	-0.205
TCGA-06-0749	EZH2	-	-	-0.634
TCGA-06-0749	FANCA	-	-	-0.697
TCGA-06-0749	FBN2	-	-	-0.037
TCGA-06-0749	FBXO11	-	-	0.247
TCGA-06-0749	FES	-	-	0.149
TCGA-06-0749	FGFR3	-	-	0.862
TCGA-06-0749	FLT3	-	-	0.001
TCGA-06-0749	FOXA2	-	-	0.004
TCGA-06-0749	FRG1B	-	-	-0.855
TCGA-06-0749	GATA3	-	-	-0.014
TCGA-06-0749	GNAI1	-	-	0.238
TCGA-06-0749	GNAS	-	-	0.826
TCGA-06-0749	GOLGA5	-	-	-0.927
TCGA-06-0749	GOT2	-	-	-0.2
TCGA-06-0749	GPHN	-	-	0.957
TCGA-06-0749	GPS2	-	-	2.106
TCGA-06-0749	H3F3C	-	-	-0.495
TCGA-06-0749	HGF	-	-	0.014
TCGA-06-0749	HLA-A	-	-	-0.383
TCGA-06-0749	HMGXB4	-	-	-1.188
TCGA-06-0749	HRAS	-	-	1.345
TCGA-06-0749	HSPA8	-	-	0.813
TCGA-06-0749	HUWE1	-	-	-1.146
TCGA-06-0749	IDH1	-	-	-0.365
TCGA-06-0749	IDH2	-	-	0.026
TCGA-06-0749	IRS2	-	-	1.151
TCGA-06-0749	KDM5C	-	-	-1.215
TCGA-06-0749	KEAP1	-	-	0.47
TCGA-06-0749	KIFC3	-	-	0.407
TCGA-06-0749	KIT	-	-	0.026
TCGA-06-0749	KRAS	-	-	-0.335
TCGA-06-0749	LEPR	-	-	-0.245
TCGA-06-0749	LIFR	-	-	1.746
TCGA-06-0749	LPP	-	-	-0.9
TCGA-06-0749	LUM	-	-	-0.322
TCGA-06-0749	LZTR1	-	-	1.765
TCGA-06-0749	MALAT1	-	-	-0.015
TCGA-06-0749	MAP2K4	-	-	0.583
TCGA-06-0749	MAP3K3	-	-	-0.505
TCGA-06-0749	MAPK8IP1	-	-	6.361
TCGA-06-0749	MATK	-	-	1.473
TCGA-06-0749	MDM2	-	-	-0.158
TCGA-06-0749	MDM4	-	-	-0.072
TCGA-06-0749	METTL14	-	-	-1.045
TCGA-06-0749	MN1	-	-	-0.006
TCGA-06-0749	MTOR	-	-	-0.613
TCGA-06-0749	NAV3	1	-	0.769
TCGA-06-0749	NBPF10	1	-	-0.26
TCGA-06-0749	NCOA4	-	-	-0.614
TCGA-06-0749	NF1	-	-	-0.641
TCGA-06-0749	NFE2L2	-	-	-0.022
TCGA-06-0749	NLRP3	1	-	0.16
TCGA-06-0749	NOTCH1	-	-	0.246
TCGA-06-0749	NR4A2	-	-	0.016
TCGA-06-0749	PCBP1	-	-	-0.378
TCGA-06-0749	PDGFRA	-	-	0.016
TCGA-06-0749	PIK3CA	-	-	-0.574
TCGA-06-0749	PIK3CG	-	-	-0.058
TCGA-06-0749	PIK3R1	-	-	0.438
TCGA-06-0749	PIP5K1A	-	-	-0.823
TCGA-06-0749	PLCG1	-	-	1.095
TCGA-06-0749	PPP2R1A	-	-	0.639
TCGA-06-0749	PTEN	1	-	-1.152
TCGA-06-0749	RAC1	-	-	1.572
TCGA-06-0749	RANBP2	-	-	-0.946
TCGA-06-0749	RANBP3	-	-	1.426
TCGA-06-0749	RB1	-	-	-0.427
TCGA-06-0749	RBMX	-	-	-0.728
TCGA-06-0749	RHEB	-	-	1.503
TCGA-06-0749	RHOA	-	-	1.471
TCGA-06-0749	RPL5	-	-	-0.479
TCGA-06-0749	RPSAP58	-	-	0.095
TCGA-06-0749	RUNX1	-	-	-0.572
TCGA-06-0749	RXRA	-	-	0.046
TCGA-06-0749	SMAD2	-	-	-1.092
TCGA-06-0749	SMC1A	-	-	-1.148
TCGA-06-0749	SPATA6	-	-	0.061
TCGA-06-0749	SPEN	-	-	-0.652
TCGA-06-0749	SPOP	-	-	0.451
TCGA-06-0749	STAG2	1	-	-1.748
TCGA-06-0749	STK11	-	-	0.065
TCGA-06-0749	SYNE1	-	-	0.263
TCGA-06-0749	TBL1XR1	-	-	-0.784
TCGA-06-0749	TBX3	-	-	-0.117
TCGA-06-0749	TCF12	-	-	0.474
TCGA-06-0749	TCF7	-	-	-0.129
TCGA-06-0749	TET2	-	-	-0.392
TCGA-06-0749	TFDP1	-	-	-0.623
TCGA-06-0749	TGFBR2	-	-	-0.394
TCGA-06-0749	TGIF1	-	-	-0.647
TCGA-06-0749	TJP2	-	-	0.843
TCGA-06-0749	TNFRSF10C	-	-	-0.238
TCGA-06-0749	TOM1	-	-	1.122
TCGA-06-0749	TP53	-	-	-0.388
TCGA-06-0749	U2AF1	-	-	0.093
TCGA-06-0749	WT1	-	-	-0.01
TCGA-06-0749	ZFP36L1	-	-	0.207
TCGA-06-0749	ZFP36L2	-	-	-0.123
TCGA-06-0749	ZNF132	-	-	0.693
TCGA-06-0749	ZNF300	-	-	0.264
TCGA-06-0749	ZNF814	-	-	0.397
TCGA-06-0749	ZNF844	-	-	-0.411
TCGA-06-0750	ABCB1	-	-	0.172
TCGA-06-0750	ACVR1B	-	-	-0.925
TCGA-06-0750	ADCY1	-	-	0.232
TCGA-06-0750	ADORA2A	-	-	-0.132
TCGA-06-0750	AHNAK2	-	-	-0.119
TCGA-06-0750	AKAP9	-	-	-0.446
TCGA-06-0750	AKD1	-	-	-0.169
TCGA-06-0750	AKT1	-	-	-0.512
TCGA-06-0750	AMPH	-	-	1.232
TCGA-06-0750	APAF1	-	-	-0.392
TCGA-06-0750	BCOR	-	-	-1.414
TCGA-06-0750	BRAF	-	-	-1.088
TCGA-06-0750	BRCA1	-	-	-0.258
TCGA-06-0750	BRCA2	-	-	-0.391
TCGA-06-0750	CAD	-	-	-0.547
TCGA-06-0750	CASP8	-	-	-0.791
TCGA-06-0750	CAST	-	-	-0.898
TCGA-06-0750	CBFB	-	-	0.248
TCGA-06-0750	CCND1	-	-	-0.25
TCGA-06-0750	CDKN2A	0	-2	-0.067
TCGA-06-0750	CDKN2C	-	-	1.082
TCGA-06-0750	CEBPA	-	-	0.053
TCGA-06-0750	CENPF	-	-	-0.627
TCGA-06-0750	CFH	-	-	0.477
TCGA-06-0750	CHD4	-	-	-0.937
TCGA-06-0750	CHD8	-	-	-1.314
TCGA-06-0750	CREM	-	-	1.776
TCGA-06-0750	CRTC3	-	-	0.218
TCGA-06-0750	CTCF	-	-	-1.321
TCGA-06-0750	CUL1	-	-	0.466
TCGA-06-0750	DHX9	-	-	-1.236
TCGA-06-0750	DICER1	-	-	-0.835
TCGA-06-0750	DMD	1	-	0.327
TCGA-06-0750	DNMT3A	-	-	-0.487
TCGA-06-0750	EGFR	1	2	0.674
TCGA-06-0750	EIF4A2	-	-	-0.229
TCGA-06-0750	ELF3	-	-	-0.715
TCGA-06-0750	ERCC2	-	-	-0.091
TCGA-06-0750	EWSR1	-	-	-0.002
TCGA-06-0750	EZH2	-	-	-0.023
TCGA-06-0750	FANCA	-	-	-0.46
TCGA-06-0750	FBN2	-	-	-0.041
TCGA-06-0750	FBXO11	-	-	-0.266
TCGA-06-0750	FES	-	-	0.608
TCGA-06-0750	FGFR3	-	-	0.117
TCGA-06-0750	FLT3	-	-	-0.006
TCGA-06-0750	FOXA2	-	-	-0.009
TCGA-06-0750	FRG1B	-	-	-0.445
TCGA-06-0750	GATA3	-	-	-0.014
TCGA-06-0750	GNAI1	-	-	0.305
TCGA-06-0750	GNAS	-	-	0.098
TCGA-06-0750	GOLGA5	-	-	-1.147
TCGA-06-0750	GOT2	-	-	-0.031
TCGA-06-0750	GPHN	-	-	-0.061
TCGA-06-0750	GPS2	-	-	1.804
TCGA-06-0750	H3F3C	-	-	-0.483
TCGA-06-0750	HGF	-	-	0.015
TCGA-06-0750	HLA-A	-	-	0.249
TCGA-06-0750	HMGXB4	-	-	-0.914
TCGA-06-0750	HRAS	-	-	0.83
TCGA-06-0750	HSPA8	-	-	0.043
TCGA-06-0750	HUWE1	-	-	-1.069
TCGA-06-0750	IDH1	-	-	0.536
TCGA-06-0750	IDH2	-	-	-0.406
TCGA-06-0750	IRS2	-	-	1.349
TCGA-06-0750	KDM5C	-	-	-1.108
TCGA-06-0750	KEAP1	-	-	0.301
TCGA-06-0750	KIFC3	-	-	1.054
TCGA-06-0750	KIT	-	-	-0.065
TCGA-06-0750	KRAS	-	-	-0.421
TCGA-06-0750	LEPR	-	-	-0.256
TCGA-06-0750	LIFR	-	-	0.542
TCGA-06-0750	LPP	-	-	-0.86
TCGA-06-0750	LUM	-	-	-0.221
TCGA-06-0750	LZTR1	-	-	1.339
TCGA-06-0750	MALAT1	-	-	0.026
TCGA-06-0750	MAP2K4	-	-	-0.017
TCGA-06-0750	MAP3K3	-	-	-0.54
TCGA-06-0750	MAPK8IP1	-	-	2.317
TCGA-06-0750	MATK	-	-	0.046
TCGA-06-0750	MDM2	-	-	0.083
TCGA-06-0750	MDM4	0	2	2.873
TCGA-06-0750	METTL14	-	-	-0.54
TCGA-06-0750	MN1	-	-	0.055
TCGA-06-0750	MTOR	-	-	-0.697
TCGA-06-0750	NAV3	-	-	0.1
TCGA-06-0750	NBPF10	-	-	-0.255
TCGA-06-0750	NCOA4	-	-	-0.759
